LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FIN,HUR,TOT,PC_LF,M,2020-11,7.9,
FIN,HUR,TOT,PC_LF,M,2020-12,8.2,
FIN,HUR,TOT,PC_LF,M,2021-01,8.4,
FIN,HUR,TOT,PC_LF,M,2021-02,8,
FIN,HUR,TOT,PC_LF,M,2021-03,7.5,
FIN,HUR,TOT,PC_LF,M,2021-04,8.5,
FIN,HUR,TOT,PC_LF,M,2021-05,8.2,
FIN,HUR,TOT,PC_LF,M,2021-06,7.7,
FIN,HUR,TOT,PC_LF,M,2021-07,7.7,
FIN,HUR,TOT,PC_LF,M,2021-08,7.2,
FIN,HUR,TOT,PC_LF,M,2021-09,7.7,
FIN,HUR,TOT,PC_LF,M,2021-10,6.7,
FRA,HUR,TOT,PC_LF,M,2020-04,7.5,
FRA,HUR,TOT,PC_LF,M,2020-05,7.1,
FRA,HUR,TOT,PC_LF,M,2020-06,7.5,
FRA,HUR,TOT,PC_LF,M,2020-07,8.7,
FRA,HUR,TOT,PC_LF,M,2020-08,9,
FRA,HUR,TOT,PC_LF,M,2020-09,9,
FRA,HUR,TOT,PC_LF,M,2020-10,8.3,
FRA,HUR,TOT,PC_LF,M,2020-11,8,
FRA,HUR,TOT,PC_LF,M,2020-12,7.8,
FRA,HUR,TOT,PC_LF,M,2021-01,7.9,
FRA,HUR,TOT,PC_LF,M,2021-02,8.1,
FRA,HUR,TOT,PC_LF,M,2021-03,8.1,
FRA,HUR,TOT,PC_LF,M,2021-04,8.3,
FRA,HUR,TOT,PC_LF,M,2021-05,8.3,
FRA,HUR,TOT,PC_LF,M,2021-06,8.1,
FRA,HUR,TOT,PC_LF,M,2021-07,8,
FRA,HUR,TOT,PC_LF,M,2021-08,7.9,
FRA,HUR,TOT,PC_LF,M,2021-09,7.7,
FRA,HUR,TOT,PC_LF,M,2021-10,7.6,
DEU,HUR,TOT,PC_LF,M,2020-04,3.7,
DEU,HUR,TOT,PC_LF,M,2020-05,3.8,
DEU,HUR,TOT,PC_LF,M,2020-06,3.9,
DEU,HUR,TOT,PC_LF,M,2020-07,4,
DEU,HUR,TOT,PC_LF,M,2020-08,4.1,
DEU,HUR,TOT,PC_LF,M,2020-09,4.1,
DEU,HUR,TOT,PC_LF,M,2020-10,4.1,
DEU,HUR,TOT,PC_LF,M,2020-11,4.1,
DEU,HUR,TOT,PC_LF,M,2020-12,4,B
DEU,HUR,TOT,PC_LF,M,2021-01,3.9,
DEU,HUR,TOT,PC_LF,M,2021-02,3.9,P
DEU,HUR,TOT,PC_LF,M,2021-03,3.8,P
DEU,HUR,TOT,PC_LF,M,2021-04,3.7,P
DEU,HUR,TOT,PC_LF,M,2021-05,3.6,P
DEU,HUR,TOT,PC_LF,M,2021-06,3.5,P
DEU,HUR,TOT,PC_LF,M,2021-07,3.4,P
DEU,HUR,TOT,PC_LF,M,2021-08,3.4,P
DEU,HUR,TOT,PC_LF,M,2021-09,3.3,P
DEU,HUR,TOT,PC_LF,M,2021-10,3.3,P
GRC,HUR,TOT,PC_LF,M,2020-04,16.1,
GRC,HUR,TOT,PC_LF,M,2020-05,16.8,
GRC,HUR,TOT,PC_LF,M,2020-06,17.7,
GRC,HUR,TOT,PC_LF,M,2020-07,16.7,
GRC,HUR,TOT,PC_LF,M,2020-08,17,
GRC,HUR,TOT,PC_LF,M,2020-09,16.5,
GRC,HUR,TOT,PC_LF,M,2020-10,16.4,
GRC,HUR,TOT,PC_LF,M,2020-11,16.2,
GRC,HUR,TOT,PC_LF,M,2020-12,15.6,B
GRC,HUR,TOT,PC_LF,M,2021-01,16.4,
GRC,HUR,TOT,PC_LF,M,2021-02,16.3,
GRC,HUR,TOT,PC_LF,M,2021-03,16.5,
GRC,HUR,TOT,PC_LF,M,2021-04,17.3,
GRC,HUR,TOT,PC_LF,M,2021-05,15.9,
GRC,HUR,TOT,PC_LF,M,2021-06,15,
GRC,HUR,TOT,PC_LF,M,2021-07,14.1,
GRC,HUR,TOT,PC_LF,M,2021-08,13.8,
GRC,HUR,TOT,PC_LF,M,2021-09,13.1,
GRC,HUR,TOT,PC_LF,M,2021-10,12.9,
HUN,HUR,TOT,PC_LF,M,2020-04,3.6,
HUN,HUR,TOT,PC_LF,M,2020-05,4.9,
HUN,HUR,TOT,PC_LF,M,2020-06,4.9,
HUN,HUR,TOT,PC_LF,M,2020-07,4.3,
HUN,HUR,TOT,PC_LF,M,2020-08,4.2,
HUN,HUR,TOT,PC_LF,M,2020-09,4.3,
HUN,HUR,TOT,PC_LF,M,2020-10,4,
HUN,HUR,TOT,PC_LF,M,2020-11,4.3,
HUN,HUR,TOT,PC_LF,M,2020-12,4.2,
HUN,HUR,TOT,PC_LF,M,2021-01,4.5,
HUN,HUR,TOT,PC_LF,M,2021-02,4.5,
HUN,HUR,TOT,PC_LF,M,2021-03,4,
HUN,HUR,TOT,PC_LF,M,2021-04,4.1,
HUN,HUR,TOT,PC_LF,M,2021-05,4.2,
HUN,HUR,TOT,PC_LF,M,2021-06,4.1,
HUN,HUR,TOT,PC_LF,M,2021-07,4.1,
HUN,HUR,TOT,PC_LF,M,2021-08,4.1,
HUN,HUR,TOT,PC_LF,M,2021-09,3.6,
HUN,HUR,TOT,PC_LF,M,2021-10,3.9,
IRL,HUR,TOT,PC_LF,M,2020-04,4.8,
IRL,HUR,TOT,PC_LF,M,2020-05,5,
IRL,HUR,TOT,PC_LF,M,2020-06,5.6,
IRL,HUR,TOT,PC_LF,M,2020-07,6.7,
IRL,HUR,TOT,PC_LF,M,2020-08,7.1,
IRL,HUR,TOT,PC_LF,M,2020-09,7.2,
IRL,HUR,TOT,PC_LF,M,2020-10,6.3,
IRL,HUR,TOT,PC_LF,M,2020-11,6.2,
IRL,HUR,TOT,PC_LF,M,2020-12,6.2,
IRL,HUR,TOT,PC_LF,M,2021-01,7,
IRL,HUR,TOT,PC_LF,M,2021-02,7.6,
IRL,HUR,TOT,PC_LF,M,2021-03,7.9,
IRL,HUR,TOT,PC_LF,M,2021-04,7.6,
IRL,HUR,TOT,PC_LF,M,2021-05,6.9,
IRL,HUR,TOT,PC_LF,M,2021-06,6.3,
IRL,HUR,TOT,PC_LF,M,2021-07,5.7,
IRL,HUR,TOT,PC_LF,M,2021-08,5.4,
IRL,HUR,TOT,PC_LF,M,2021-09,5.2,
IRL,HUR,TOT,PC_LF,M,2021-10,5.2,
ITA,HUR,TOT,PC_LF,M,2020-04,7.4,P
ITA,HUR,TOT,PC_LF,M,2020-05,8.5,P
ITA,HUR,TOT,PC_LF,M,2020-06,9.5,P
ITA,HUR,TOT,PC_LF,M,2020-07,10.1,P
ITA,HUR,TOT,PC_LF,M,2020-08,10,P
ITA,HUR,TOT,PC_LF,M,2020-09,10.1,P
ITA,HUR,TOT,PC_LF,M,2020-10,10,P
ITA,HUR,TOT,PC_LF,M,2020-11,9.6,P
ITA,HUR,TOT,PC_LF,M,2020-12,9.8,P
ITA,HUR,TOT,PC_LF,M,2021-01,10.2,P
ITA,HUR,TOT,PC_LF,M,2021-02,10.1,P
ITA,HUR,TOT,PC_LF,M,2021-03,10,P
ITA,HUR,TOT,PC_LF,M,2021-04,10.1,P
ITA,HUR,TOT,PC_LF,M,2021-05,9.9,P
ITA,HUR,TOT,PC_LF,M,2021-06,9.4,P
ITA,HUR,TOT,PC_LF,M,2021-07,9.2,P
ITA,HUR,TOT,PC_LF,M,2021-08,9.3,P
ITA,HUR,TOT,PC_LF,M,2021-09,9.2,P
ITA,HUR,TOT,PC_LF,M,2021-10,9.4,P
LUX,HUR,TOT,PC_LF,M,2020-04,7.4,
LUX,HUR,TOT,PC_LF,M,2020-05,7.7,
LUX,HUR,TOT,PC_LF,M,2020-06,7.6,
LUX,HUR,TOT,PC_LF,M,2020-07,7.1,
LUX,HUR,TOT,PC_LF,M,2020-08,6.7,
LUX,HUR,TOT,PC_LF,M,2020-09,6.5,
LUX,HUR,TOT,PC_LF,M,2020-10,6.2,
LUX,HUR,TOT,PC_LF,M,2020-11,6.2,
LUX,HUR,TOT,PC_LF,M,2020-12,6.4,B
LUX,HUR,TOT,PC_LF,M,2021-01,6.3,
LUX,HUR,TOT,PC_LF,M,2021-02,6.2,
LUX,HUR,TOT,PC_LF,M,2021-03,6.2,
LUX,HUR,TOT,PC_LF,M,2021-04,6.1,
LUX,HUR,TOT,PC_LF,M,2021-05,5.9,
LUX,HUR,TOT,PC_LF,M,2021-06,5.7,
LUX,HUR,TOT,PC_LF,M,2021-07,5.5,
LUX,HUR,TOT,PC_LF,M,2021-08,5.4,
LUX,HUR,TOT,PC_LF,M,2021-09,5.3,
LUX,HUR,TOT,PC_LF,M,2021-10,5.1,
NLD,HUR,TOT,PC_LF,M,2020-04,3.4,
NLD,HUR,TOT,PC_LF,M,2020-05,3.6,
NLD,HUR,TOT,PC_LF,M,2020-06,4.3,
NLD,HUR,TOT,PC_LF,M,2020-07,4.5,
NLD,HUR,TOT,PC_LF,M,2020-08,4.6,
NLD,HUR,TOT,PC_LF,M,2020-09,4.4,
NLD,HUR,TOT,PC_LF,M,2020-10,4.3,
NLD,HUR,TOT,PC_LF,M,2020-11,4,
NLD,HUR,TOT,PC_LF,M,2020-12,3.9,
NLD,HUR,TOT,PC_LF,M,2021-01,3.6,
NLD,HUR,TOT,PC_LF,M,2021-02,3.6,
NLD,HUR,TOT,PC_LF,M,2021-03,3.5,
NLD,HUR,TOT,PC_LF,M,2021-04,3.4,
NLD,HUR,TOT,PC_LF,M,2021-05,3.3,
NLD,HUR,TOT,PC_LF,M,2021-06,3.2,
NLD,HUR,TOT,PC_LF,M,2021-07,3.1,
NLD,HUR,TOT,PC_LF,M,2021-08,3.2,
NLD,HUR,TOT,PC_LF,M,2021-09,3.1,
NLD,HUR,TOT,PC_LF,M,2021-10,2.9,
POL,HUR,TOT,PC_LF,M,2020-04,3.1,
POL,HUR,TOT,PC_LF,M,2020-05,3.2,
POL,HUR,TOT,PC_LF,M,2020-06,3.4,
POL,HUR,TOT,PC_LF,M,2020-07,3.4,
POL,HUR,TOT,PC_LF,M,2020-08,3.3,
POL,HUR,TOT,PC_LF,M,2020-09,3.3,
POL,HUR,TOT,PC_LF,M,2020-10,3.2,
POL,HUR,TOT,PC_LF,M,2020-11,3.2,
POL,HUR,TOT,PC_LF,M,2020-12,3.4,B
POL,HUR,TOT,PC_LF,M,2021-01,3.7,
POL,HUR,TOT,PC_LF,M,2021-02,3.9,
POL,HUR,TOT,PC_LF,M,2021-03,3.9,
POL,HUR,TOT,PC_LF,M,2021-04,3.7,
POL,HUR,TOT,PC_LF,M,2021-05,3.6,
POL,HUR,TOT,PC_LF,M,2021-06,3.5,
POL,HUR,TOT,PC_LF,M,2021-07,3.4,
POL,HUR,TOT,PC_LF,M,2021-08,3.4,
POL,HUR,TOT,PC_LF,M,2021-09,3.4,
POL,HUR,TOT,PC_LF,M,2021-10,3.4,
PRT,HUR,TOT,PC_LF,M,2020-04,6.4,
PRT,HUR,TOT,PC_LF,M,2020-05,6,
PRT,HUR,TOT,PC_LF,M,2020-06,7.5,
PRT,HUR,TOT,PC_LF,M,2020-07,8.1,
PRT,HUR,TOT,PC_LF,M,2020-08,8.2,
PRT,HUR,TOT,PC_LF,M,2020-09,8,
PRT,HUR,TOT,PC_LF,M,2020-10,7.6,
PRT,HUR,TOT,PC_LF,M,2020-11,7.2,
PRT,HUR,TOT,PC_LF,M,2020-12,6.9,
PRT,HUR,TOT,PC_LF,M,2021-01,7,
PRT,HUR,TOT,PC_LF,M,2021-02,6.9,
PRT,HUR,TOT,PC_LF,M,2021-03,6.6,
PRT,HUR,TOT,PC_LF,M,2021-04,7,
PRT,HUR,TOT,PC_LF,M,2021-05,7,
PRT,HUR,TOT,PC_LF,M,2021-06,6.8,
PRT,HUR,TOT,PC_LF,M,2021-07,6.6,
PRT,HUR,TOT,PC_LF,M,2021-08,6.3,
PRT,HUR,TOT,PC_LF,M,2021-09,6.4,
PRT,HUR,TOT,PC_LF,M,2021-10,6.4,
SVK,HUR,TOT,PC_LF,M,2020-04,6.5,
SVK,HUR,TOT,PC_LF,M,2020-05,6.7,
SVK,HUR,TOT,PC_LF,M,2020-06,6.8,
SVK,HUR,TOT,PC_LF,M,2020-07,7.1,
SVK,HUR,TOT,PC_LF,M,2020-08,7.2,
SVK,HUR,TOT,PC_LF,M,2020-09,7,
SVK,HUR,TOT,PC_LF,M,2020-10,7.1,
SVK,HUR,TOT,PC_LF,M,2020-11,7.1,
SVK,HUR,TOT,PC_LF,M,2020-12,7.1,B
SVK,HUR,TOT,PC_LF,M,2021-01,7,
SVK,HUR,TOT,PC_LF,M,2021-02,7.1,
SVK,HUR,TOT,PC_LF,M,2021-03,7.2,
SVK,HUR,TOT,PC_LF,M,2021-04,7.1,
SVK,HUR,TOT,PC_LF,M,2021-05,7,
SVK,HUR,TOT,PC_LF,M,2021-06,6.8,
SVK,HUR,TOT,PC_LF,M,2021-07,6.7,
SVK,HUR,TOT,PC_LF,M,2021-08,6.5,
SVK,HUR,TOT,PC_LF,M,2021-09,6.3,
SVK,HUR,TOT,PC_LF,M,2021-10,6.3,
ESP,HUR,TOT,PC_LF,M,2020-04,15.1,
ESP,HUR,TOT,PC_LF,M,2020-05,15.3,
ESP,HUR,TOT,PC_LF,M,2020-06,15.9,
ESP,HUR,TOT,PC_LF,M,2020-07,16.3,
ESP,HUR,TOT,PC_LF,M,2020-08,16.6,
ESP,HUR,TOT,PC_LF,M,2020-09,16.5,
ESP,HUR,TOT,PC_LF,M,2020-10,16.3,
ESP,HUR,TOT,PC_LF,M,2020-11,16.2,
ESP,HUR,TOT,PC_LF,M,2020-12,16.2,
ESP,HUR,TOT,PC_LF,M,2021-01,15.8,
ESP,HUR,TOT,PC_LF,M,2021-02,15.7,
ESP,HUR,TOT,PC_LF,M,2021-03,15.4,
ESP,HUR,TOT,PC_LF,M,2021-04,15.4,
ESP,HUR,TOT,PC_LF,M,2021-05,15.4,
ESP,HUR,TOT,PC_LF,M,2021-06,15.3,
ESP,HUR,TOT,PC_LF,M,2021-07,15,
ESP,HUR,TOT,PC_LF,M,2021-08,14.8,
ESP,HUR,TOT,PC_LF,M,2021-09,14.6,
ESP,HUR,TOT,PC_LF,M,2021-10,14.5,
SWE,HUR,TOT,PC_LF,M,2020-04,7.9,
SWE,HUR,TOT,PC_LF,M,2020-05,8.3,
SWE,HUR,TOT,PC_LF,M,2020-06,9,
SWE,HUR,TOT,PC_LF,M,2020-07,9.2,
SWE,HUR,TOT,PC_LF,M,2020-08,9,
SWE,HUR,TOT,PC_LF,M,2020-09,8.9,
SWE,HUR,TOT,PC_LF,M,2020-10,8.7,
SWE,HUR,TOT,PC_LF,M,2020-11,8.3,
SWE,HUR,TOT,PC_LF,M,2020-12,8.8,B
SWE,HUR,TOT,PC_LF,M,2021-01,9,
SWE,HUR,TOT,PC_LF,M,2021-02,9,
SWE,HUR,TOT,PC_LF,M,2021-03,9.5,
SWE,HUR,TOT,PC_LF,M,2021-04,9.1,
SWE,HUR,TOT,PC_LF,M,2021-05,9.1,
SWE,HUR,TOT,PC_LF,M,2021-06,9.4,
SWE,HUR,TOT,PC_LF,M,2021-07,8.3,
SWE,HUR,TOT,PC_LF,M,2021-08,8.8,
SWE,HUR,TOT,PC_LF,M,2021-09,8.8,
SWE,HUR,TOT,PC_LF,M,2021-10,8.5,
USA,HUR,TOT,PC_LF,M,2020-04,14.8,
USA,HUR,TOT,PC_LF,M,2020-05,13.3,
USA,HUR,TOT,PC_LF,M,2020-06,11.1,
USA,HUR,TOT,PC_LF,M,2020-07,10.2,
USA,HUR,TOT,PC_LF,M,2020-08,8.4,
USA,HUR,TOT,PC_LF,M,2020-09,7.8,
USA,HUR,TOT,PC_LF,M,2020-10,6.9,
USA,HUR,TOT,PC_LF,M,2020-11,6.7,
USA,HUR,TOT,PC_LF,M,2020-12,6.7,
USA,HUR,TOT,PC_LF,M,2021-01,6.3,
USA,HUR,TOT,PC_LF,M,2021-02,6.2,
USA,HUR,TOT,PC_LF,M,2021-03,6,
USA,HUR,TOT,PC_LF,M,2021-04,6.1,
USA,HUR,TOT,PC_LF,M,2021-05,5.8,
USA,HUR,TOT,PC_LF,M,2021-06,5.9,
USA,HUR,TOT,PC_LF,M,2021-07,5.4,
USA,HUR,TOT,PC_LF,M,2021-08,5.2,
USA,HUR,TOT,PC_LF,M,2021-09,4.8,
USA,HUR,TOT,PC_LF,M,2021-10,4.6,
USA,HUR,TOT,PC_LF,M,2021-11,4.2,
EST,HUR,TOT,PC_LF,M,2020-04,5.9,
EST,HUR,TOT,PC_LF,M,2020-05,6.9,
EST,HUR,TOT,PC_LF,M,2020-06,7.9,
EST,HUR,TOT,PC_LF,M,2020-07,7.9,
EST,HUR,TOT,PC_LF,M,2020-08,8,
EST,HUR,TOT,PC_LF,M,2020-09,8.3,
EST,HUR,TOT,PC_LF,M,2020-10,7.9,
EST,HUR,TOT,PC_LF,M,2020-11,7.4,
EST,HUR,TOT,PC_LF,M,2020-12,6.8,
EST,HUR,TOT,PC_LF,M,2021-01,7.2,
EST,HUR,TOT,PC_LF,M,2021-02,6.8,
EST,HUR,TOT,PC_LF,M,2021-03,6.4,
EST,HUR,TOT,PC_LF,M,2021-04,6.3,
EST,HUR,TOT,PC_LF,M,2021-05,6.6,
EST,HUR,TOT,PC_LF,M,2021-06,6.5,
EST,HUR,TOT,PC_LF,M,2021-07,6.4,
EST,HUR,TOT,PC_LF,M,2021-08,6,
EST,HUR,TOT,PC_LF,M,2021-09,5.7,
EST,HUR,TOT,PC_LF,M,2021-10,5.7,
SVN,HUR,TOT,PC_LF,M,2020-04,5.2,
SVN,HUR,TOT,PC_LF,M,2020-05,5.4,
SVN,HUR,TOT,PC_LF,M,2020-06,5.4,
SVN,HUR,TOT,PC_LF,M,2020-07,5.2,
SVN,HUR,TOT,PC_LF,M,2020-08,5.2,
SVN,HUR,TOT,PC_LF,M,2020-09,5.1,
SVN,HUR,TOT,PC_LF,M,2020-10,5.1,
SVN,HUR,TOT,PC_LF,M,2020-11,5.3,
SVN,HUR,TOT,PC_LF,M,2020-12,5.3,
SVN,HUR,TOT,PC_LF,M,2021-01,5.4,
SVN,HUR,TOT,PC_LF,M,2021-02,5.2,
SVN,HUR,TOT,PC_LF,M,2021-03,5,
SVN,HUR,TOT,PC_LF,M,2021-04,4.7,
SVN,HUR,TOT,PC_LF,M,2021-05,4.5,
SVN,HUR,TOT,PC_LF,M,2021-06,4.4,
SVN,HUR,TOT,PC_LF,M,2021-07,4.5,
SVN,HUR,TOT,PC_LF,M,2021-08,4.6,
SVN,HUR,TOT,PC_LF,M,2021-09,4.7,
SVN,HUR,TOT,PC_LF,M,2021-10,4.8,
OECD,HUR,TOT,PC_LF,M,2020-04,8.80424,E
OECD,HUR,TOT,PC_LF,M,2020-05,8.643216,E
OECD,HUR,TOT,PC_LF,M,2020-06,8.315001,E
OECD,HUR,TOT,PC_LF,M,2020-07,8.163242,E
OECD,HUR,TOT,PC_LF,M,2020-08,7.573207,E
OECD,HUR,TOT,PC_LF,M,2020-09,7.385149,E
OECD,HUR,TOT,PC_LF,M,2020-10,7.090517,E
OECD,HUR,TOT,PC_LF,M,2020-11,6.9154,E
OECD,HUR,TOT,PC_LF,M,2020-12,6.869371,E
OECD,HUR,TOT,PC_LF,M,2021-01,6.838759,E
OECD,HUR,TOT,PC_LF,M,2021-02,6.728069,E
OECD,HUR,TOT,PC_LF,M,2021-03,6.553115,E
OECD,HUR,TOT,PC_LF,M,2021-04,6.692514,E
OECD,HUR,TOT,PC_LF,M,2021-05,6.494712,E
OECD,HUR,TOT,PC_LF,M,2021-06,6.292463,E
OECD,HUR,TOT,PC_LF,M,2021-07,6.085048,E
OECD,HUR,TOT,PC_LF,M,2021-08,5.938987,E
OECD,HUR,TOT,PC_LF,M,2021-09,5.769564,E
OECD,HUR,TOT,PC_LF,M,2021-10,5.734179,E
LVA,HUR,TOT,PC_LF,M,2020-04,8.3,
LVA,HUR,TOT,PC_LF,M,2020-05,8.6,
LVA,HUR,TOT,PC_LF,M,2020-06,8.7,
LVA,HUR,TOT,PC_LF,M,2020-07,8.7,
LVA,HUR,TOT,PC_LF,M,2020-08,8.6,
LVA,HUR,TOT,PC_LF,M,2020-09,8.3,
LVA,HUR,TOT,PC_LF,M,2020-10,8.2,
LVA,HUR,TOT,PC_LF,M,2020-11,8.1,
LVA,HUR,TOT,PC_LF,M,2020-12,8,
LVA,HUR,TOT,PC_LF,M,2021-01,7.8,
LVA,HUR,TOT,PC_LF,M,2021-02,7.7,
LVA,HUR,TOT,PC_LF,M,2021-03,7.7,
LVA,HUR,TOT,PC_LF,M,2021-04,7.7,
LVA,HUR,TOT,PC_LF,M,2021-05,7.8,
LVA,HUR,TOT,PC_LF,M,2021-06,7.9,
LVA,HUR,TOT,PC_LF,M,2021-07,7.7,
LVA,HUR,TOT,PC_LF,M,2021-08,7.3,
LVA,HUR,TOT,PC_LF,M,2021-09,7,
LVA,HUR,TOT,PC_LF,M,2021-10,7,
LTU,HUR,TOT,PC_LF,M,2020-04,7.9,
LTU,HUR,TOT,PC_LF,M,2020-05,8.6,
LTU,HUR,TOT,PC_LF,M,2020-06,9.1,
LTU,HUR,TOT,PC_LF,M,2020-07,9.4,
LTU,HUR,TOT,PC_LF,M,2020-08,9.8,
LTU,HUR,TOT,PC_LF,M,2020-09,9.9,
LTU,HUR,TOT,PC_LF,M,2020-10,9.3,
LTU,HUR,TOT,PC_LF,M,2020-11,9.2,
LTU,HUR,TOT,PC_LF,M,2020-12,9.2,
LTU,HUR,TOT,PC_LF,M,2021-01,7.4,
LTU,HUR,TOT,PC_LF,M,2021-02,6.8,
LTU,HUR,TOT,PC_LF,M,2021-03,6.5,
LTU,HUR,TOT,PC_LF,M,2021-04,7.2,
LTU,HUR,TOT,PC_LF,M,2021-05,7.7,
LTU,HUR,TOT,PC_LF,M,2021-06,7.8,
LTU,HUR,TOT,PC_LF,M,2021-07,7.3,
LTU,HUR,TOT,PC_LF,M,2021-08,7,
LTU,HUR,TOT,PC_LF,M,2021-09,6.7,
LTU,HUR,TOT,PC_LF,M,2021-10,6.5,
EU27_2020,HUR,TOT,PC_LF,M,2020-04,6.6,
EU27_2020,HUR,TOT,PC_LF,M,2020-05,6.9,
EU27_2020,HUR,TOT,PC_LF,M,2020-06,7.3,
EU27_2020,HUR,TOT,PC_LF,M,2020-07,7.6,
EU27_2020,HUR,TOT,PC_LF,M,2020-08,7.7,
EU27_2020,HUR,TOT,PC_LF,M,2020-09,7.7,
EU27_2020,HUR,TOT,PC_LF,M,2020-10,7.5,
